url,title,heading,depth,fetched_int,id,n_words
https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit.html,Study permit - Canada.ca,Study permit > Processing times,0,20260920,d17269aa3525886c_db80e6003ad8616d_0,13
https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit.html,Study permit - Canada.ca,Study permit > Fees,0,20260920,d17269aa3525886c_db80e6003ad8616d_1,66
https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit.html,Study permit - Canada.ca,Study permit > Feature > Get your graduate degree in Canada,0,20260920,d17269aa3525886c_db80e6003ad8616d_2,42
